A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
109,279.6825660375081,10.0,0.17598298339783172,170.91325998888215,1.5,0.9349319877877095,101.30735930986484,10.0,0.2727738949128546,158.45435697780405,1.5,0.5936348062290578,133.37987561396255,10.0,0.12276660415601352,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,policy 0,dikesnet
116,273.32809631757584,1.0,0.060487374761866386,121.65279603574493,1.0,0.24747468682888557,274.8299914286956,10.0,0.3860384351997367,311.4278453148568,1.0,0.1962966978173539,297.5845232176123,10.0,0.9790385651258374,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,policy 0,dikesnet
56,60.190255086573146,10.0,0.04216941925082959,278.69949796303547,1.5,0.2219394024312055,327.98800401891293,1.0,0.03560698974757707,115.11401386911437,10.0,0.8919059955429143,56.1052662961584,1.5,0.27188246608261146,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,policy 0,dikesnet
95,317.5846162861906,1.5,0.40124354693737774,195.1335407924751,1.0,0.25596556711377455,234.60708691323543,1.0,0.3952467275979766,75.93422877699932,1.0,0.5629896914767559,258.45277236327956,10.0,0.4775700782520478,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,policy 0,dikesnet
29,119.0180516399536,10.0,0.8108666291001673,298.1503710136571,1.5,0.35461150296557503,172.43955357775903,1.0,0.14185586126774657,133.6033789935346,10.0,0.5605740668807466,202.0115137359544,10.0,0.3592325691414358,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,policy 0,dikesnet
22,225.72373888279643,10.0,0.0868914418997962,166.01654977874293,1.5,0.1919184770076137,227.11267787495402,1.0,0.27703133653341167,63.208120305392924,1.0,0.47714340651460524,180.09178277251212,1.5,0.18395920161887616,1.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,policy 0,dikesnet
129,307.0612828337121,10.0,0.410001420077044,247.3839856965946,1.5,0.27858232223007834,312.2017466422654,1.5,0.3829417057412122,130.65796188576377,1.0,0.6817316440025032,233.2843185148128,10.0,0.004734019239848568,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,policy 0,dikesnet
125,272.3657217480536,1.5,0.8746163069789795,284.3831748964268,1.0,0.5713296695947865,45.694170054085575,10.0,0.05476455720030064,220.59706004575384,1.0,0.333369119103421,302.8470379599461,10.0,0.6035827720450108,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,policy 0,dikesnet
28,185.44997916519557,1.0,0.9933626119514906,168.92943254408618,1.0,0.33214289262744634,71.6717889546519,1.5,0.5794435949362977,99.89035199412862,1.0,0.07106287865847823,188.13883777205513,10.0,0.02659687292179403,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,policy 0,dikesnet
128,97.71438031723204,1.0,0.5013138861330059,144.44154274769218,10.0,0.9874173318847641,86.84735634350885,10.0,0.17523001919291478,307.33990465677095,1.0,0.6870554551244896,257.5905039303862,1.0,0.632281698647848,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,policy 0,dikesnet
116,279.0233208866679,10.0,0.7585088717928127,348.5128664595267,10.0,0.18020746766660803,332.1236163378488,10.0,0.6701578165217361,216.3033805116456,1.5,0.26537735402156915,239.20710437291058,10.0,0.2880033595755689,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,policy 0,dikesnet
49,349.90423774241015,10.0,0.3549925019128966,108.31944069432808,10.0,0.27657011275317805,299.2251290740554,10.0,0.9039674916067856,58.6929788234989,10.0,0.3711791910203359,277.82409760585995,1.5,0.6655704140679277,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,policy 0,dikesnet
122,115.60977093069481,1.0,0.6287749243172871,120.90776477607763,10.0,0.7079692585251811,154.42561368819298,10.0,0.7530957181316812,226.87927018924643,1.0,0.39018918868432934,69.398453374687,1.5,0.3273951432200112,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,policy 0,dikesnet
53,221.34633029308725,1.5,0.676690668042224,57.53978240964198,1.0,0.0425350149539247,337.4997943393945,10.0,0.6412474879826262,129.95679855261363,1.5,0.8882881396822927,253.41872312998137,1.5,0.501893017464394,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,policy 0,dikesnet
102,327.1460122709561,1.0,0.2947742762093537,121.11768546107577,10.0,0.6980739621958924,300.2014761951805,1.5,0.9282234659778641,270.08132562170556,10.0,0.547387689999685,109.27827299293148,1.5,0.2917395999233897,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,policy 0,dikesnet
117,35.38304859490248,1.0,0.46938959158762655,96.83090430862791,1.0,0.1336178812670385,243.4139847211753,1.0,0.850914584898547,280.46989778997323,1.5,0.665080811189477,296.03888680485016,1.5,0.84140981115368,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,policy 0,dikesnet
99,232.42182435798568,10.0,0.06883061419726245,223.82202263811567,10.0,0.7511106000283634,209.26047742741574,1.0,0.1599051342938073,122.06632678753729,1.5,0.8925050127367036,309.15610726518133,1.5,0.39174990029532797,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,policy 0,dikesnet
15,204.05613916256928,10.0,0.9931599617572725,247.32850158016234,1.0,0.23821251557139328,298.21056236305395,1.5,0.6749633689561532,318.61621483441877,10.0,0.3456787039862282,181.96398983685597,1.0,0.1652129708659782,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,policy 0,dikesnet
1,210.27598465600747,1.0,0.44810195451728535,261.51028626448624,1.5,0.4083970739067919,148.8723556791541,1.0,0.9794348054342591,75.51899282654213,1.0,0.6330298173949189,299.2629387330604,1.0,0.056760109902577925,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,policy 0,dikesnet
69,273.9786367628508,1.0,0.19917399317166484,306.72311651866585,1.0,0.9202090908257683,287.5980485309084,1.5,0.0018872774488391875,233.92075408287081,1.0,0.1291801505764897,236.6364029313195,1.5,0.27457322603535667,2.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,policy 0,dikesnet
122,150.66626658733568,1.0,0.9983082440178538,121.61703354405708,1.5,0.012855806838065947,225.8780808034798,1.0,0.878140281414929,236.18595169362524,10.0,0.49083786909321414,56.70698733049311,10.0,0.31841733089807905,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,policy 0,dikesnet
106,110.68405717930867,1.0,0.13728328163495315,193.52876447221087,10.0,0.454511845745895,131.52323449648765,10.0,0.9176749772297659,77.840005877913,1.0,0.1658746275903221,172.13360943404678,10.0,0.6298099680385763,4.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,policy 0,dikesnet
94,94.86702338125399,1.5,0.06510839807244123,71.49497659375386,10.0,0.24429096734201586,165.93328273341808,10.0,0.2511893598610024,41.705302505216494,1.0,0.7295541658755251,33.468446029142314,1.0,0.33518268748449004,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,policy 0,dikesnet
14,277.7986909588791,10.0,0.2748178088623133,272.5647337622853,10.0,0.2903900701267331,83.45562983425859,10.0,0.7782309708029495,277.0199562371554,10.0,0.10761293111318627,239.584856824639,1.5,0.7146075611480178,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,policy 0,dikesnet
53,223.98699360249617,1.5,0.13585262358571026,69.5029774703828,1.5,0.021967738006006474,214.91243613560303,1.0,0.6327973643587197,255.24556032692433,1.5,0.2270961821041763,112.11198015795773,10.0,0.1413150061260371,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,policy 0,dikesnet
35,245.7084276394104,10.0,0.6060906056169707,113.0748269799501,1.5,0.2321517156781865,281.59185823348196,1.5,0.6650619874903693,346.02598088289767,10.0,0.13681496169843024,130.28356587475025,10.0,0.1758647892119315,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,policy 0,dikesnet
87,188.76909013833955,1.5,0.7785412404444128,149.3631403374112,10.0,0.5526623090443004,336.9658855049477,1.0,0.20195808575635849,168.97138716680078,1.0,0.24743423817315235,254.55344287436063,1.0,0.9069584841732048,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,policy 0,dikesnet
96,60.27481572537533,1.0,0.9609420514203019,212.75300382841894,1.5,0.09468402096947431,118.81825490890193,10.0,0.9566521343381004,236.82603537479594,10.0,0.21987064374517698,135.60921533642448,10.0,0.6674956804728102,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,policy 0,dikesnet
91,309.0113355049136,1.0,0.0903954078201369,125.94972895626626,10.0,0.5174164238620946,123.90343138955839,1.0,0.3457396216223452,87.51057135333686,1.0,0.1843444618151507,211.23204077864762,10.0,0.1149357046502087,3.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,policy 0,dikesnet
115,160.53187374523907,10.0,0.28391652585995525,91.48442970903531,10.0,0.7466167965045752,349.23856984329336,1.5,0.17126292043083832,301.15387176619305,1.0,0.3036763662415383,157.91108914875159,10.0,0.15985077402074097,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,policy 0,dikesnet
114,72.25801752710639,1.0,0.2714972980036105,73.899892207856,1.0,0.8247098636073162,79.37441731972791,1.0,0.007420909864374308,243.94615021531206,10.0,0.6010846326823703,309.21512623031276,1.0,0.13211949534038148,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,policy 0,dikesnet
6,67.10170559576153,1.5,0.9448890942672111,235.02450090368,1.0,0.5802416904747577,219.88892503741013,10.0,0.9046393818274643,160.04486609825594,10.0,0.2546763079641164,165.12503124111646,1.5,0.9994457513077362,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,policy 0,dikesnet
3,135.44699889025452,1.5,0.37159648301459636,153.79638751523296,1.0,0.2658893961851136,64.87754795417925,10.0,0.578720101395222,231.75175285161546,1.5,0.8927904165956267,153.42846777258745,1.0,0.3018329541762542,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,policy 0,dikesnet
14,258.9846714046603,1.0,0.7049049258249764,349.0665433531102,10.0,0.36072954867344986,237.71613927086992,10.0,0.9493047098289538,76.29007316664531,1.0,0.14496974164699677,173.41732703540077,1.5,0.09196156011478863,3.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,policy 0,dikesnet
59,38.653041872394525,10.0,0.42129509592609715,277.4621612298603,1.0,0.710998076843935,61.86930504037989,1.5,0.7522241280679106,157.09069874349936,1.0,0.19217893845861056,269.2520941760353,1.5,0.8562260211113358,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,policy 0,dikesnet
86,129.75610690601184,1.5,0.5070167767409609,68.17066660701352,1.0,0.5621155439879061,55.75902232600576,1.0,0.5783624850831672,104.58039394015758,1.0,0.9587509845707917,77.89662624968571,1.0,0.9136184751824168,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,policy 0,dikesnet
29,149.16887437664468,1.5,0.5366813829984344,143.78587312767434,1.5,0.08906633962177915,118.44453998766267,1.0,0.7554682621530566,242.30821118306056,1.5,0.6993506678711058,199.25719328828234,10.0,0.5805290919082862,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,policy 0,dikesnet
82,260.68572968691825,1.0,0.4396946596927895,218.08461399517387,1.0,0.25355134282480496,176.72914201844134,1.0,0.07837390044084154,250.4390091099154,10.0,0.2512584915118081,311.09585965130435,1.0,0.2908331354863558,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,policy 0,dikesnet
99,147.49769657591534,1.0,0.21446480490863343,296.6695338126489,10.0,0.5991242285521464,132.98996489475945,1.5,0.3426377515183344,128.2796325454908,10.0,0.14047604311188222,185.2184143171816,1.0,0.09675236607894738,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,policy 0,dikesnet
6,103.60298399639294,10.0,0.7873266360389052,308.8082761264867,1.0,0.24413607552611014,102.60844392650954,10.0,0.21696548417830663,86.37331560909422,1.5,0.5517968261676006,120.89434901901258,10.0,0.4923564482888503,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,policy 0,dikesnet
95,144.69705809127032,10.0,0.5166816855431203,97.56619729706829,10.0,0.8320342424534801,278.5355810688816,1.0,0.6402665770871221,101.19721844690336,1.5,0.059906392164248756,305.8590092068991,1.0,0.1624917436836759,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,policy 0,dikesnet
12,106.74928669929251,1.0,0.18491443432663016,151.6369731831566,10.0,0.29824066665228965,308.8829643060429,10.0,0.13907111925054802,330.5614847586205,1.0,0.6664608532833117,233.69548772266327,1.5,0.5040167469938763,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,policy 0,dikesnet
80,261.26939518298445,1.5,0.9662550612031323,151.32075620899303,1.5,0.32059078266705876,210.53124750268563,1.5,0.9492799007563316,117.57908039980566,10.0,0.9329591102876029,129.79051695927393,1.5,0.623711347620625,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,policy 0,dikesnet
6,214.95197379688335,1.0,0.17143720837158063,290.41581554356287,1.0,0.21062590064495834,69.50674833716279,1.5,0.9014110356637368,239.20902773212148,10.0,0.577133476891742,123.6553206949493,1.0,0.45791664652800423,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,policy 0,dikesnet
75,178.4823223900152,10.0,0.17032841760037729,184.79520986877102,1.0,0.6344764510620206,44.19060602314903,1.5,0.6599336009707683,255.3447324382749,1.0,0.24095315249376384,89.85108865166592,1.5,0.4251185373600944,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,policy 0,dikesnet
49,292.623414837256,1.5,0.6831898582132168,316.87795565351706,1.0,0.004091898938664899,337.69542479780546,1.5,0.830848322095019,190.11168746172584,10.0,0.8898774793466911,60.13135125439388,1.0,0.9668484199205363,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,policy 0,dikesnet
56,223.5234821006803,10.0,0.6400662296946437,230.1872299077193,1.0,0.2404144311000652,205.78087160102496,10.0,0.5006584156520419,243.15820320262534,1.0,0.507141308600999,219.3038737894658,10.0,0.8639507254666712,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,policy 0,dikesnet
63,331.50560068536663,1.0,0.00972839956504148,124.54150074198961,1.5,0.8714693690799136,337.8297830740376,1.0,0.3546547641866525,122.10744589015768,1.5,0.7254560874160499,285.4782494007126,1.5,0.02523415013509178,3.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,policy 0,dikesnet
11,281.75629590920005,10.0,0.8460892257587815,52.61711832061918,1.0,0.8864747898651062,126.7625346566671,1.0,0.35655528497246053,319.642876785988,1.0,0.800521146581758,293.8280975917346,10.0,0.5771620330250293,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,policy 0,dikesnet
35,292.772469813687,1.5,0.06625675681596409,252.53309165138364,1.5,0.7448001707300537,334.277608300151,1.5,0.4936594447788303,319.94906307417574,1.0,0.5095086404196882,141.75534469697487,10.0,0.8500096755850471,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,policy 0,dikesnet
74,82.63074350117066,10.0,0.6675663277935232,65.28129684393832,10.0,0.44713041524161123,165.58014778498256,10.0,0.6322369470688548,330.41923455250935,1.5,0.9742711751275209,180.85735632564993,10.0,0.31432338317944053,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,policy 0,dikesnet
78,326.9305513699163,10.0,0.8344927926052053,319.2943021297938,10.0,0.32348430241364623,241.9647543577663,1.5,0.5427222398540538,281.0829987964845,1.5,0.1454885457830601,238.63881013834975,1.0,0.21317218404155697,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,policy 0,dikesnet
77,62.8807311672674,1.0,0.13624497822914647,340.60540417710087,1.0,0.8019856928524465,308.54574726068995,1.0,0.44833074207002654,200.91204279432935,10.0,0.19508633942912712,71.42081118785532,1.0,0.061271596525763625,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,policy 0,dikesnet
124,80.9114213028115,1.5,0.19458749462949315,303.25066361162067,1.0,0.01905696645031701,219.04956806745923,1.0,0.5796599055177116,148.19683408449154,1.5,0.6346275089045398,210.9246961989769,1.5,0.2782910829710776,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,policy 0,dikesnet
111,134.8571175333587,1.5,0.9806739997526147,271.3215720248765,1.0,0.6369332358750005,153.5653923303043,1.0,0.8495970869039561,103.52136389789834,1.5,0.15318548795480427,171.44769518676264,10.0,0.6057843128207597,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,policy 0,dikesnet
55,118.67235700812151,10.0,0.6905525408411362,210.92358037964783,10.0,0.6805864821462101,80.83189400221212,10.0,0.22441141476303397,270.3712993523744,1.5,0.9945447157943481,161.86907440309642,10.0,0.36336177000409353,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,policy 0,dikesnet
127,267.7989647663394,1.5,0.49711835733125315,213.0703795333126,1.5,0.2780967896680201,106.44698271908034,10.0,0.9377180085563939,206.73322883163334,1.0,0.7475317764470044,289.22625180713055,1.5,0.048112786873779345,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,policy 0,dikesnet
